# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=8
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=110970316
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-14.2057,0.0254399,2.36924,1,1,0,-0.120216
-12.3645,0.999947,0.264979,3,7,0,0.0189952
-12.205,0.996418,0.486405,2,3,0,0.0326352
-10.6424,1,0.875158,3,7,0,1.03171
-8.87853,1,1.57488,2,3,0,0.645818
-9.61207,0.484782,2.8064,1,1,0,0.883424
-9.18939,1,1.20809,1,1,0,0.79014
-8.88401,0.991379,2.13706,2,3,0,0.652836
-9.11263,0.681373,3.65918,1,1,0,0.767362
-9.11263,0.345081,2.71282,1,1,0,0.767362
-9.09029,1,0.828772,1,1,0,0.760086
-8.86605,1,1.44371,2,3,0,0.613748
-8.86605,0.0613494,2.49285,1,1,0,0.613748
-8.88195,0.999382,0.375858,3,7,0,0.650345
-8.94377,0.968268,0.649115,3,7,0,0.69854
-8.94746,0.993687,1.02686,3,7,0,0.700603
-9.06621,0.983562,1.72023,2,3,0,0.468854
-9.06621,0.207136,2.78768,1,1,0,0.468854
-9.04391,1,0.647566,2,3,0,0.476962
-9.36618,0.839166,1.09283,2,3,0,0.833943
-9.31561,1,1.23283,1,1,0,0.822339
-8.9715,1,2.05518,2,3,0,0.713058
-9.3245,0.599421,3.40127,1,1,0,0.39625
-9.07199,0.900144,2.13245,2,3,0,0.753849
-9.07199,0.0497765,2.75977,1,1,0,0.753849
-9.60944,0.991028,0.473134,4,9,0,0.337733
-9.4482,1,0.763488,1,1,0,0.369095
-9.08958,1,1.25008,2,3,0,0.460826
-9.08958,0.263787,2.03339,1,1,0,0.460826
-8.86683,0.974207,0.599489,3,5,0,0.619801
-9.04894,0.960604,0.917452,2,3,0,0.47509
-9.46615,0.969544,1.35368,2,3,0,0.365405
-9.17523,1,2.02815,1,1,0,0.434514
-9.08528,1,3.23803,1,1,0,0.46227
-9.08528,2.71636e-22,5.1398,1,1,0,0.46227
-9.19256,0.989749,0.875464,1,1,0,0.429655
-8.97684,1,1.36138,1,1,0,0.505053
-8.97684,0.0382437,2.1538,1,1,0,0.505053
-9.02727,0.998531,0.413516,2,3,0,0.483352
-9.068,0.997825,0.653029,1,1,0,0.468222
-9.13171,0.991659,1.02421,1,1,0,0.447351
-8.87114,1,1.57699,2,3,0,0.587524
-8.87114,0.116525,2.45967,1,1,0,0.587524
-9.21775,0.986812,0.583448,3,5,0,0.422816
-9.4863,0.982988,0.885347,3,5,0,0.859346
-8.8662,1,1.32654,2,3,0,0.615449
-8.87563,0.995042,2.05049,1,1,0,0.641463
-8.87563,0.00966944,3.12225,1,1,0,0.641463
-8.88033,0.999848,0.615835,2,3,0,0.648268
-10.4037,0.89572,0.948694,3,7,0,0.218292
-9.85154,1,1.1754,1,1,0,0.296472
-9.46032,1,1.79699,1,1,0,0.366598
-8.98647,1,2.73528,1,1,0,0.720097
-8.98647,0.188711,4.14574,1,1,0,0.720097
-8.8911,0.979863,1.2279,2,3,0,0.560189
-8.8911,0.863234,1.78722,1,1,0,0.560189
-9.07517,0.907138,2.05541,1,1,0,0.465724
-10.2658,0.371879,2.57465,1,1,0,0.984397
-11.4993,0.823179,1.12193,1,1,0,1.12337
-8.92514,1,1.19293,2,3,0,0.68726
-9.11362,0.927147,1.7895,1,1,0,0.767676
-9.07014,1,2.32149,2,3,0,0.753201
-9.07014,0.188524,3.4583,1,1,0,0.753201
-8.86674,1,1.07793,3,7,0,0.619334
-9.7643,0.788449,1.60539,2,3,0,0.909989
-8.91583,1,1.59179,2,3,0,0.680955
-9.06343,0.925885,2.35788,2,3,0,0.469841
-9.06343,0.000525571,3.02568,1,1,0,0.469841
-8.93975,0.989541,0.679728,3,7,0,0.696232
-9.07139,0.992121,0.985751,3,7,0,0.753637
-9.0003,0.963597,1.43175,2,3,0,0.494452
-8.91588,1,1.96589,1,1,0,0.539682
-8.91588,0.024868,2.87932,1,1,0,0.539682
-8.92076,0.999702,0.698222,1,1,0,0.536314
-8.86723,0.921188,1.02314,3,7,0,0.621713
-8.99805,0.803668,1.29487,2,3,0,0.725251
-8.99805,2.84678e-234,5.28344,1,1,0,0.725251
-8.99805,0,12.3372,1,1,1,0.725251
-8.99805,0.859423,1.21644,1,1,0,0.725251
-9.40422,0.801447,0.871095,3,7,0,0.842288
-8.95836,0.990935,0.650279,2,3,0,0.706452
-8.87758,0.991022,0.948967,2,3,0,0.576215
-8.8889,0.790692,1.52815,2,3,0,0.658242
-9.21918,0.873584,1.39978,1,1,0,0.798239
-9.21918,0.0431212,1.70321,1,1,0,0.798239
-8.90903,0.999999,0.153472,5,23,0,0.67597
-8.94275,0.999481,0.286536,4,11,0,0.522713
-8.89129,0.999603,0.54125,3,7,0,0.660682
-9.67235,0.852424,1.02891,2,3,0,0.89424
-8.86957,0.991548,1.23402,2,3,0,0.591273
-8.86957,0.452562,2.2891,1,1,0,0.591273
-9.1067,0.978626,0.795692,2,3,0,0.455208
-9.1067,0.277914,1.41927,1,1,0,0.455208
-8.96086,0.999984,0.295933,3,7,0,0.512933
-9.9872,0.957588,0.564761,3,7,0,0.275568
-9.97993,0.999386,0.940636,3,7,0,0.944019
-9.57261,1,1.76186,2,3,0,0.876105
-9.01621,0.333333,3.27429,2,3,1,0.48778
-9.00745,0.936107,0.853484,2,3,0,0.729267
-9.57078,0.879607,1.31296,2,3,0,0.344914
-8.86887,1,1.70443,1,1,0,0.627459
-8.86887,0.0119025,3.10802,1,1,0,0.627459
-9.10323,0.991295,0.34151,4,15,0,0.764343
-8.86638,0.971674,0.610019,2,3,0,0.603686
-9.00917,0.714833,1.02177,2,3,0,0.490688
-9.96442,0.912931,0.834822,2,3,0,0.278986
-9.87557,1,1.17739,1,1,0,0.292669
-9.72872,1,2.09159,2,3,0,0.903996
-9.43354,1,3.68076,1,1,0,0.848522
-9.43354,0,6.41801,1,1,1,0.848522
-8.89594,1,0.783245,3,7,0,0.665104
-8.91538,0.992406,1.37031,1,1,0,0.68064
-8.90169,0.937615,2.32955,2,3,0,0.55056
-8.90169,2.38594e-08,3.4081,1,1,0,0.55056
-8.92087,0.998938,0.445939,2,3,0,0.536236
-8.89557,0.981326,0.767832,2,3,0,0.664761
-12.8939,0.359725,1.254,2,3,0,1.24484
-13.1374,0.996927,0.42681,2,3,0,1.26374
-8.92939,0.978022,0.722399,3,7,0,0.689979
-11.325,0.516623,1.15776,2,3,0,0.114569
-9.59794,1,0.593153,3,7,0,0.880825
-9.26035,1,0.997389,2,3,0,0.808887
-9.1882,0.919041,1.6647,2,3,0,0.78981
-9.1882,1.85237e-08,2.27034,1,1,0,0.78981
-9.3462,0.996876,0.343089,2,3,0,0.829431
-9.24814,1,0.566349,1,1,0,0.805788
-8.86951,0.867715,0.935357,2,3,0,0.629244
-8.9988,0.964303,1.12566,2,3,0,0.495099
-8.96326,1,1.69165,2,3,0,0.511708
-8.96326,0.0274382,2.746,1,1,0,0.511708
-9.46832,0.954723,0.474691,2,3,0,0.364962
-8.86598,0.941757,0.696077,2,3,0,0.612402
-8.89342,0.969987,0.986268,2,3,0,0.66275
-8.86877,0.635235,1.48265,2,3,0,0.627158
-9.09579,0.941505,1.04767,2,3,0,0.458765
-9.09579,0.546264,1.47001,2,3,0,0.458765
-9.28661,0.97119,0.856492,1,1,0,0.405285
-9.37381,0.990217,1.27896,2,3,0,0.385033
-9.37381,0.0252336,1.98144,1,1,0,0.385033
-9.32943,1,0.374558,1,1,0,0.395102
-9.38329,0.996042,0.593754,1,1,0,0.382939
-9.21086,1,0.928272,1,1,0,0.424662
-8.9404,0.698392,1.45611,2,3,0,0.696609
-10.3769,0.707903,1.19677,2,3,0,0.998946
-11.1249,0.853854,1.00567,1,1,0,1.0855
-10.0222,1,1.15073,1,1,0,0.950287
-8.87076,1,1.78475,1,1,0,0.632301
-8.95499,0.875025,2.75494,1,1,0,0.515992
-8.86723,1,3.26811,1,1,0,0.598971
-8.86723,3.42793e-17,5.00518,1,1,0,0.598971
-10.576,0.683225,0.984221,2,3,0,0.196913
-11.4359,0.893534,0.791754,1,1,0,0.103519
-9.17836,1,0.977637,3,7,0,0.787048
-9.20451,0.987897,1.49306,1,1,0,0.794296
-9.46855,0.762792,2.21596,1,1,0,0.364915
-9.46855,0.443302,2.08958,1,1,0,0.364915
-8.86739,0.99254,1.04469,2,3,0,0.598281
-8.86739,0.252142,1.55816,1,1,0,0.598281
-8.98258,0.978118,0.53895,3,5,0,0.718311
-8.92905,0.999834,0.780806,3,7,0,0.530909
-8.99568,0.941459,1.17592,2,3,0,0.496461
-9.85043,0.642198,1.57511,1,1,0,0.296649
-9.65773,1,1.18016,1,1,0,0.329019
-9.65773,0.359833,1.76415,1,1,0,0.329019
-8.8965,1,0.771354,2,3,0,0.555064
-9.01184,0.968598,1.15091,1,1,0,0.489575
-9.01184,0.0508124,1.61202,1,1,0,0.489575
-8.95478,0.999603,0.397599,2,3,0,0.516104
-8.88174,0.979514,0.591255,3,7,0,0.650077
-8.90974,0.98442,0.843789,2,3,0,0.544168
-10.329,0.702671,1.21144,2,3,0,0.227927
-10.0266,1,1.0276,1,1,0,0.269737
-9.95702,1,1.51232,2,3,0,0.280104
-9.02696,1,2.21832,1,1,0,0.483472
-9.02696,5.29494e-07,3.24335,1,1,0,0.483472
-8.88978,1,0.761553,2,3,0,0.561517
-8.872,0.997522,1.11474,2,3,0,0.634962
-9.39358,0.751559,1.61928,1,1,0,0.839984
-9.02574,0.987782,1.50483,2,3,0,0.736721
-9.02574,0.198392,2.13876,1,1,0,0.736721
-8.95592,0.94349,0.738311,2,3,0,0.5155
-8.86743,0.994339,0.969621,2,3,0,0.622566
-8.86742,0.990396,1.39063,2,3,0,0.622515
-8.86742,0.0276696,1.97494,1,1,0,0.622515
-8.96377,0.977712,0.513149,3,7,0,0.511451
-8.86736,0.993871,0.713448,2,3,0,0.598381
-8.86695,0.990634,1.01774,2,3,0,0.600264
-8.87791,0.927265,1.4397,2,3,0,0.575736
-10.1597,0.412123,1.81975,1,1,0,0.250737
-10.1597,0.932403,0.942484,1,1,0,0.250737
-9.0855,1,1.20155,1,1,0,0.462198
-9.26776,0.952112,1.71707,2,3,0,0.409931
-10.2122,0.366812,2.25491,1,1,0,0.977166
-9.77323,1,1.09045,1,1,0,0.911475
-9.27287,1,1.55263,1,1,0,0.812013
-9.27287,0.005517,2.20505,1,1,0,0.812013
-8.96466,1,0.584514,3,7,0,0.511003
-8.99147,0.996141,0.830856,1,1,0,0.498321
-9.42023,0.884553,1.17048,1,1,0,0.37496
-9.0503,1,1.36562,2,3,0,0.474591
-9.0503,0.0208962,1.92817,1,1,0,0.474591
-9.67854,0.973013,0.536551,3,5,0,0.895328
-9.03696,0.959665,0.725108,2,3,0,0.741082
-8.90618,0.967728,0.956653,3,7,0,0.546912
-8.86805,0.98493,1.2765,2,3,0,0.595806
-8.86805,0.935553,1.74843,1,1,0,0.595806
-9.30078,0.644414,2.20508,1,1,0,0.401859
-9.30078,0.363831,1.73081,2,3,0,0.401859
-9.00599,0.904339,0.864099,2,3,0,0.728652
-9.0053,0.947566,1.03619,3,7,0,0.492313
-11.2796,0.547823,1.33036,2,3,0,1.10151
-9.95075,0.995827,0.8986,3,7,0,0.281055
-8.92176,0.823128,1.24466,2,3,0,0.535639
-9.60343,0.827182,1.30674,2,3,0,0.881838
-12.5329,0.311744,1.38029,1,1,0,1.21574
-12.747,0.981589,0.644671,1,1,0,1.23316
-12.2085,1,0.870335,1,1,0,1.18834
-9.02033,0.997831,1.20723,2,3,0,0.486111
-8.9272,0.964413,1.66544,2,3,0,0.688589
-8.97808,0.950917,2.17628,1,1,0,0.71621
-8.97808,5.06072e-05,2.78003,1,1,0,0.71621
-9.04963,0.996754,0.809283,2,3,0,0.745839
-8.88794,1,1.11147,2,3,0,0.563434
-9.34976,0.797619,1.53121,1,1,0,0.390432
-9.66242,0.89849,1.54166,2,3,0,0.328186
-9.66242,0.261884,1.81206,1,1,0,0.328186
-9.63776,1,0.802918,1,1,0,0.33259
-11.8613,0.856147,1.10291,2,3,0,1.1575
-11.7536,1,1.21481,1,1,0,1.14757
-12.6905,0.860632,1.66355,2,3,0,-0.00793793
-12.6905,0.58459,1.84151,2,3,0,-0.00793793
-11.2811,1,1.34319,2,3,0,1.10165
-8.87779,1,1.83377,1,1,0,0.644766
-8.87779,0.00481372,2.49909,1,1,0,0.644766
-9.07258,0.983446,0.766842,2,3,0,0.754054
-8.88752,1,1.02023,2,3,0,0.563884
-9.00161,0.955077,1.38895,1,1,0,0.493886
-9.64028,0.65972,1.76594,1,1,0,0.332136
-9.38302,1,1.44824,2,3,0,0.837674
-10.4424,0.425742,1.96465,1,1,0,0.213393
-9.08638,1,1.1426,2,3,0,0.758773
-9.08527,1,1.54839,2,3,0,0.462273
-8.88014,1,2.09483,1,1,0,0.572652
-8.88014,2.2709e-09,2.8295,1,1,0,0.572652
-8.99016,0.987996,0.889376,2,3,0,0.498909
-9.1087,0.966046,1.18126,1,1,0,0.454567
-9.01324,0.621895,1.51753,2,3,0,0.731677
-8.8688,1,1.18409,2,3,0,0.627259
-8.8688,0.00533423,1.59529,1,1,0,0.627259
-8.96743,0.993537,0.513637,3,7,0,0.50962
-9.05542,0.978731,0.686009,2,3,0,0.472717
-9.01651,0.93234,0.895681,2,3,0,0.733014
-8.90596,1,1.09304,1,1,0,0.673589
-10.8103,0.568792,1.46718,2,3,0,1.05118
-10.5967,0.624929,1.06629,3,7,0,0.194414
-9.19805,0.996606,0.840369,2,3,0,0.428141
-9.10807,0.926996,1.12081,2,3,0,0.765904
-8.99651,1,1.35323,1,1,0,0.72458
-8.99116,1,1.80865,1,1,0,0.722214
-8.99116,0.436559,2.41386,1,1,0,0.722214
-8.9057,1,1.46303,1,1,0,0.673379
-8.9057,0.434163,1.95077,1,1,0,0.673379
-8.89066,1,1.18185,2,3,0,0.660046
-8.89579,0.990133,1.57441,2,3,0,0.555714
-8.89579,0.296511,2.06602,1,1,0,0.555714
-9.05872,0.94416,1.0384,2,3,0,0.749148
-8.86654,0.998415,1.27853,2,3,0,0.602555
-8.86654,0.499561,1.69443,1,1,0,0.602555
-8.97471,0.981123,1.13116,2,3,0,0.714605
-9.2153,0.942713,1.46249,2,3,0,0.797204
-8.88277,1,1.79207,1,1,0,0.651358
-10.5412,0.142502,2.37188,1,1,0,0.201143
-9.06013,0.973923,0.97741,2,3,0,0.471019
-9.68599,0.912442,1.24878,2,3,0,0.896632
-8.86607,1,1.46647,2,3,0,0.613973
-8.86607,0.875056,1.93672,1,1,0,0.613973
-8.86607,0.347569,1.07942,2,3,0,0.613973
-8.88544,0.892561,4.74177,1,1,0,0.654487
-8.88544,7.32781e-112,4.62182,1,1,0,0.654487
-8.89377,0.985111,0.490815,3,7,0,0.663085
-8.88951,0.995282,0.666301,2,3,0,0.658875
-8.954,0.96024,1.0566,2,3,0,0.516517
-8.954,0.129702,1.62092,1,1,0,0.516517
-9.10316,0.99936,0.19498,4,15,0,0.456355
-8.99485,0.998611,0.350963,2,3,0,0.496826
-8.89871,0.966807,0.646327,2,3,0,0.66757
-8.87287,0.995502,1.09104,2,3,0,0.584002
-8.87287,0.0410237,2.02843,1,1,0,0.584002
-8.94883,0.99951,0.186773,4,9,0,0.519312
-8.873,0.997074,0.355436,3,7,0,0.63691
-8.87118,0.997019,0.669528,2,3,0,0.587435
-11.778,0.483142,1.25456,2,3,0,0.0708335
-9.93206,0.977593,0.480345,2,3,0,0.283902
-10.755,0.857678,0.845505,1,1,0,0.175815
-10.755,0.297149,1.02709,1,1,0,0.175815
-9.79605,0.999956,0.230839,3,7,0,0.305436
-9.22028,0.989236,0.432458,2,3,0,0.422144
-9.28331,0.990109,0.777324,1,1,0,0.40609
-9.03772,1,1.3877,1,1,0,0.479304
-9.03772,4.69911e-11,2.52544,1,1,0,0.479304
-9.14818,0.99909,0.254976,3,7,0,0.442376
-9.5256,0.993176,0.464975,3,7,0,0.353562
-9.3671,1,0.825522,2,3,0,0.386525
-9.3671,0.282266,1.4797,1,1,0,0.386525
-9.3572,0.938917,0.355844,4,9,0,0.831926
-9.70169,0.976371,0.537416,3,5,0,0.321316
-9.07215,0.879546,0.893173,2,3,0,0.753902
-9.00979,1,1.13163,1,1,0,0.730248
-8.8707,1,1.97562,1,1,0,0.588507
-8.8707,0.000510359,3.41792,1,1,0,0.588507
-8.8905,0.993475,0.414482,3,5,0,0.659893
-8.92891,0.976557,0.70744,2,3,0,0.530999
-8.92891,0.644156,1.14558,2,3,0,0.530999
-8.86889,0.988305,0.778771,2,3,0,0.593141
-8.89854,0.992199,1.28897,2,3,0,0.553247
-8.89854,0.00836397,2.13808,1,1,0,0.553247
-9.21676,0.973812,0.292111,3,7,0,0.423081
-10.0112,0.964297,0.464238,3,5,0,0.948672
-10.3617,0.979585,0.715531,3,7,0,0.996986
-9.83067,1,1.13808,1,1,0,0.920861
-9.83067,0.263327,1.89048,1,1,0,0.920861
-9.26765,1,0.516876,2,3,0,0.810714
